The M Transit System,http://transloc.com/rider-transit-app/
The Pennsylvania State University-Main Campus,http://news.psu.edu/story/445087/2017/01/23/campus-life/stay-warm-real-time-campus-shuttle-information-transloc-rider
"The University of Alabama, Tuscaloosa",https://ua.transloc.com/
The University of Alabama at Birmingham,https://uab.transloc.com/
The University of Arizona,https://arizona.transloc.com/
The University of Chicago,https://uchicago.transloc.com/
"The University of Maryland, Baltimore County",https://umbc.transloc.com/
The University of Texas at Arlington,https://uta.transloc.com/
The University of Toledo,https://utoledo.transloc.com/
The University of Vermont,https://uvm.transloc.com/
Troy University,https://www.troy.edu/transportation/
Tuscaloosa Transit Authority (TTA),http://www.tuscaloosatransit.com/
UF Health Shands Hospital – UFL,https://ufl.transloc.com/t/routes/4001206
United States Military Academy,https://www.westpoint.army.mil/shuttle.html
University of Iowa,https://login.transloc.com/
University of Kentucky,https://uky.transloc.com/
University of Maryland-College Park,http://www.transportation.umd.edu/niteride.html
University of Massachusetts Boston,https://umb.transloc.com/
University of Memphis,https://memphis.transloc.com/
University of New Haven,https://newhaven.transloc.com/
University of North Alabama,https://una.transloc.com/
University of North Carolina at Chapel Hill,https://uncp2p.transloc.com/
University of North Florida,https://unf.transloc.com/
University of Rochester,https://rochester.transloc.com/
University of South Carolina-Columbia,https://uscvmps.transloc.com/
University of Tennessee,https://utk.transloc.com/
University of Virginia,https://uva.transloc.com/
University of Western Sydney,https://westernsydney.transloc.com/
University of West Florida Main Campus,https://uwf.edu/offices/business-auxiliary-services/parking-and-transportation/uwf-trolley/
University of Wyoming,http://www.uwyo.edu/tps/transit/transloc.html
Virginia Commonwealth University,https://vcu.transloc.com/
Wake Forest University,https://wfu.transloc.com/
Widener University,https://widener.transloc.com/
Yale University,https://yale.transloc.com/
